Config,Problem,Sequence,Duration,Generations,Speed,Costs,Waiting,Tours,Unassigned
default.config,simple.multi-job.100,0,214,999,4.6600,1049.6500,0,5,0
default.config,simple.multi-job.100,1,230,999,4.3400,1045.9600,0,5,0
default.config,simple.multi-job.100,2,237,999,4.2100,1031.4300,0,5,0
default.config,simple.multi-job.100,3,251,999,3.9600,1036.3800,0,5,0
default.config,simple.multi-job.100,4,245,999,4.0600,1054.2700,0,5,0
double-population.config,simple.multi-job.100,0,229,999,4.3500,1041.7000,76,5,0
double-population.config,simple.multi-job.100,1,218,999,4.5600,1031.6700,9,5,0
double-population.config,simple.multi-job.100,2,219,999,4.5500,1068.5500,0,5,0
double-population.config,simple.multi-job.100,3,257,999,3.8800,1027.6000,0,5,0
double-population.config,simple.multi-job.100,4,251,999,3.9700,1036.5700,0,5,0
default.config,simple.reload.100,0,2,999,426.6200,461.5400,0,4,0
default.config,simple.reload.100,1,2,999,418.5400,462.4900,0,4,0
default.config,simple.reload.100,2,2,999,447.3800,460.5600,0,4,0
default.config,simple.reload.100,3,2,999,427.6200,457.0800,0,4,0
default.config,simple.reload.100,4,2,999,417.0100,458.5100,0,4,0
double-population.config,simple.reload.100,0,2,999,388.8800,465.0900,0,4,0
double-population.config,simple.reload.100,1,2,999,369.3800,454.2700,0,4,0
double-population.config,simple.reload.100,2,2,999,375.3500,462.1000,0,4,0
double-population.config,simple.reload.100,3,2,999,369.5400,463.9000,0,4,0
double-population.config,simple.reload.100,4,2,999,391.3800,464.9700,0,4,0
default.config,simple.basic.problem,0,0,999,9663.3300,35.2100,0,1,0
default.config,simple.basic.problem,1,0,999,9596.3700,35.2100,0,1,0
default.config,simple.basic.problem,2,0,999,9037.9100,35.2100,0,1,0
default.config,simple.basic.problem,3,0,999,9056.9900,35.2100,0,1,0
default.config,simple.basic.problem,4,0,999,9019.0000,35.2100,0,1,0
double-population.config,simple.basic.problem,0,0,999,9496.0900,35.2100,0,1,0
double-population.config,simple.basic.problem,1,0,999,9913.9800,35.2100,0,1,0
double-population.config,simple.basic.problem,2,0,999,9831.4300,35.2100,0,1,0
double-population.config,simple.basic.problem,3,0,999,8637.9100,35.2100,0,1,0
double-population.config,simple.basic.problem,4,0,999,10812.5400,35.2100,0,1,0
default.config,simple.deliveries.100,0,1,999,553.1900,659.3300,0,5,0
default.config,simple.deliveries.100,1,1,999,576.6300,644.1500,0,5,0
default.config,simple.deliveries.100,2,1,999,572.3500,650.6800,0,5,0
default.config,simple.deliveries.100,3,1,999,568.9000,654.9700,0,5,0
default.config,simple.deliveries.100,4,1,999,542.2100,663.0700,0,5,0
double-population.config,simple.deliveries.100,0,2,999,478.8800,646.5800,0,5,0
double-population.config,simple.deliveries.100,1,2,999,481.1700,656.1300,0,5,0
double-population.config,simple.deliveries.100,2,2,999,481.7400,669.3200,155,5,0
double-population.config,simple.deliveries.100,3,2,999,489.4800,660.4100,0,5,0
double-population.config,simple.deliveries.100,4,2,999,486.8900,658.1100,0,5,0
