Version,Config,Problem,Type,Iteration,Duration,Generations,Speed,Cost,Tours,Unassigned
master,default,delivery.100,pragmatic,0,50,10000,198.8200,647.7800,5,0
1.10.8,default,delivery.100,pragmatic,0,40,10000,248.1600,643.1800,5,0
master,default,delivery.1000,pragmatic,0,521,10000,19.1900,3179.9200,25,0
1.10.8,default,delivery.1000,pragmatic,0,483,10000,20.7000,3181.2000,25,0
master,default,multi-job.25,pragmatic,0,1323,10000,7.5600,309.1600,2,0
1.10.8,default,multi-job.25,pragmatic,0,1355,10000,7.3800,308.1700,2,0
master,default,multi-vtype.1000,pragmatic,0,616,10000,16.2200,3179.1000,25,0
1.10.8,default,multi-vtype.1000,pragmatic,0,482,10000,20.7100,3183.2100,25,0
master,default,reload.100,pragmatic,0,123,10000,80.9200,453.0700,4,0
1.10.8,default,reload.100,pragmatic,0,108,10000,91.9800,467.3100,4,0
master,default,delivery.1000.json,pragmatic,0,404,10000,24.7400,3970.8300,25,0
1.10.8,default,delivery.1000.json,pragmatic,0,359,10000,27.8500,3897.4200,25,0
master,default,delivery.100,pragmatic,1,53,10000,186.4600,641.0700,5,0
1.10.8,default,delivery.100,pragmatic,1,45,10000,222.0100,642.4900,5,0
master,default,delivery.1000,pragmatic,1,547,10000,18.2600,3180.1600,25,0
1.10.8,default,delivery.1000,pragmatic,1,428,10000,23.3400,3183.0600,25,0
master,default,multi-job.25,pragmatic,1,1469,10000,6.8100,301.6800,2,0
1.10.8,default,multi-job.25,pragmatic,1,1356,10000,7.3700,302.2600,2,0
master,default,multi-vtype.1000,pragmatic,1,607,10000,16.4600,3183.0200,25,0
1.10.8,default,multi-vtype.1000,pragmatic,1,459,10000,21.7800,3183.5000,25,0
master,default,reload.100,pragmatic,1,129,10000,77.2700,435.6800,3,0
1.10.8,default,reload.100,pragmatic,1,112,10000,89.1100,468.7000,4,0
master,default,delivery.1000.json,pragmatic,1,468,10000,21.3500,3856.5900,25,0
1.10.8,default,delivery.1000.json,pragmatic,1,408,10000,24.4600,3846.4500,25,0
master,default,delivery.100,pragmatic,2,55,10000,179.7100,650.7300,5,0
1.10.8,default,delivery.100,pragmatic,2,41,10000,239.5600,636.9200,5,0
master,default,delivery.1000,pragmatic,2,551,10000,18.1400,3182.9300,25,0
1.10.8,default,delivery.1000,pragmatic,2,431,10000,23.1900,3184.4400,25,0
master,default,multi-job.25,pragmatic,2,1470,10000,6.8000,309.2800,2,0
1.10.8,default,multi-job.25,pragmatic,2,1416,10000,7.0600,307.2500,2,0
master,default,multi-vtype.1000,pragmatic,2,565,10000,17.6800,3180.7300,25,0
1.10.8,default,multi-vtype.1000,pragmatic,2,484,10000,20.6400,3181.5600,25,0
master,default,reload.100,pragmatic,2,121,10000,82.5200,467.2600,4,0
1.10.8,default,reload.100,pragmatic,2,112,10000,88.8400,454.1700,4,0
master,default,delivery.1000.json,pragmatic,2,428,10000,23.3600,3958.3100,25,0
1.10.8,default,delivery.1000.json,pragmatic,2,360,10000,27.7300,3805.0400,25,0
master,default,delivery.100,pragmatic,3,43,10000,230.7700,637.5300,5,0
1.10.8,default,delivery.100,pragmatic,3,37,10000,267.1500,642.7000,5,0
master,default,delivery.1000,pragmatic,3,490,10000,20.4000,3182.4000,25,0
1.10.8,default,delivery.1000,pragmatic,3,366,10000,27.2600,3185.0700,25,0
master,default,multi-job.25,pragmatic,3,1254,10000,7.9700,329.4000,2,0
1.10.8,default,multi-job.25,pragmatic,3,1183,10000,8.4500,302.3100,2,0
master,default,multi-vtype.1000,pragmatic,3,565,10000,17.6700,3180.5600,25,0
1.10.8,default,multi-vtype.1000,pragmatic,3,477,10000,20.9500,3186.2800,25,0
master,default,reload.100,pragmatic,3,117,10000,84.7600,471.6700,4,0
1.10.8,default,reload.100,pragmatic,3,102,10000,97.8900,461.7200,4,0
master,default,delivery.1000.json,pragmatic,3,349,10000,28.6400,3927.0800,25,0
1.10.8,default,delivery.1000.json,pragmatic,3,312,10000,31.9900,3939.9900,25,0
master,default,delivery.100,pragmatic,4,46,10000,216.0100,667.5100,5,0
1.10.8,default,delivery.100,pragmatic,4,35,10000,280.3200,640.2300,5,0
master,default,delivery.1000,pragmatic,4,519,10000,19.2500,3184.1400,25,0
1.10.8,default,delivery.1000,pragmatic,4,433,10000,23.0800,3184.3000,25,0
master,default,multi-job.25,pragmatic,4,1244,10000,8.0400,303.5700,2,0
1.10.8,default,multi-job.25,pragmatic,4,1163,10000,8.5900,306.5500,2,0
master,default,multi-vtype.1000,pragmatic,4,526,10000,18.9800,3182.7200,25,0
1.10.8,default,multi-vtype.1000,pragmatic,4,517,10000,19.3400,3181.6100,25,0
master,default,reload.100,pragmatic,4,117,10000,84.8500,452.2200,4,0
1.10.8,default,reload.100,pragmatic,4,95,10000,104.7900,462.2500,4,0
master,default,delivery.1000.json,pragmatic,4,330,10000,30.2900,3849.5000,25,0
1.10.8,default,delivery.1000.json,pragmatic,4,351,10000,28.4800,3952.3500,25,0
master,default,delivery.100,pragmatic,5,51,10000,192.8400,635.1600,5,0
1.10.8,default,delivery.100,pragmatic,5,34,10000,291.4700,645.1100,5,0
master,default,delivery.1000,pragmatic,5,445,10000,22.4300,3184.4200,25,0
1.10.8,default,delivery.1000,pragmatic,5,407,10000,24.5200,3182.1300,25,0
master,default,multi-job.25,pragmatic,5,1188,10000,8.4200,297.5400,2,0
1.10.8,default,multi-job.25,pragmatic,5,1324,10000,7.5500,309.1900,2,0
master,default,multi-vtype.1000,pragmatic,5,503,10000,19.8600,3192.5700,25,0
1.10.8,default,multi-vtype.1000,pragmatic,5,496,10000,20.1500,3180.7900,25,0
master,default,reload.100,pragmatic,5,114,10000,87.1500,453.3200,4,0
1.10.8,default,reload.100,pragmatic,5,101,10000,98.0400,460.9200,4,0
master,default,delivery.1000.json,pragmatic,5,366,10000,27.2900,3948.6000,25,0
1.10.8,default,delivery.1000.json,pragmatic,5,307,10000,32.4900,3921.1300,25,0
master,default,delivery.100,pragmatic,6,39,10000,254.2600,663.8600,5,0
1.10.8,default,delivery.100,pragmatic,6,39,10000,255.8000,649.0700,5,0
master,default,delivery.1000,pragmatic,6,495,10000,20.2000,3183.0700,25,0
1.10.8,default,delivery.1000,pragmatic,6,378,10000,26.4000,3179.8300,25,0
master,default,multi-job.25,pragmatic,6,1102,10000,9.0700,305.7800,2,0
1.10.8,default,multi-job.25,pragmatic,6,1147,10000,8.7100,304.7800,2,0
master,default,multi-vtype.1000,pragmatic,6,516,10000,19.3600,3185.7600,25,0
1.10.8,default,multi-vtype.1000,pragmatic,6,408,10000,24.4600,3181.6600,25,0
master,default,reload.100,pragmatic,6,107,10000,93.1800,466.1000,4,0
1.10.8,default,reload.100,pragmatic,6,99,10000,100.7100,453.6000,4,0
master,default,delivery.1000.json,pragmatic,6,345,10000,28.9200,3957.3700,25,0
1.10.8,default,delivery.1000.json,pragmatic,6,271,10000,36.7700,3889.3500,25,0
master,default,delivery.100,pragmatic,7,49,10000,201.4300,671.4200,5,0
1.10.8,default,delivery.100,pragmatic,7,35,10000,284.4300,653.4900,5,0
