Config,Problem,Sequence,Duration,Generations,Speed,Cost,Waiting,Tours,Unassigned
no-aggressive-ruin,simple.delivery.1000,0,15,2001,125.9200,3204.0900,0,25,0
no-aggressive-ruin,simple.delivery.1000,1,15,2001,129.5100,3201.1600,0,25,0
no-aggressive-ruin,simple.delivery.1000,2,16,2001,123.5400,3203.4800,0,25,0
no-aggressive-ruin,simple.delivery.1000,3,15,2001,125.4000,3200.7200,0,25,0
no-aggressive-ruin,simple.delivery.1000,4,15,2001,125.3500,3201.6400,0,25,0
base,simple.delivery.1000,0,26,2001,76.9300,3206.1100,0,25,0
base,simple.delivery.1000,1,23,2001,83.5000,3201.2300,0,25,0
base,simple.delivery.1000,2,23,2001,84.0800,3205.5000,0,25,0
base,simple.delivery.1000,3,25,2001,79.1900,3199.8800,0,25,0
base,simple.delivery.1000,4,25,2001,79.3200,3209.7400,0,25,0
only-regret-recreate,simple.delivery.1000,0,24,2001,82.9100,3205.8900,0,25,0
only-regret-recreate,simple.delivery.1000,1,26,2001,76.1100,3200.6800,0,25,0
only-regret-recreate,simple.delivery.1000,2,27,2001,71.5400,3207.6100,0,25,0
only-regret-recreate,simple.delivery.1000,3,23,2001,83.4600,3208.8300,0,25,0
only-regret-recreate,simple.delivery.1000,4,24,2001,81.7500,3198.6800,0,25,0
double-population,simple.delivery.1000,0,33,2001,59.6700,3211.3500,0,25,0
double-population,simple.delivery.1000,1,29,2001,67.5600,3208.6200,0,25,0
double-population,simple.delivery.1000,2,32,2001,61.4000,3205.4000,0,25,0
double-population,simple.delivery.1000,3,29,2001,67.0900,3211.8100,0,25,0
double-population,simple.delivery.1000,4,31,2001,63.8900,3206.6800,0,25,0
only-asr-ruin,simple.delivery.1000,0,12,2001,156.9100,3213.5000,0,25,0
only-asr-ruin,simple.delivery.1000,1,12,2001,160.9100,3199.2200,3,25,0
only-asr-ruin,simple.delivery.1000,2,12,2001,164.0500,3199.5600,9,25,0
only-asr-ruin,simple.delivery.1000,3,12,2001,160.9500,3201.9700,0,25,0
only-asr-ruin,simple.delivery.1000,4,12,2001,160.6500,3215.6400,0,25,0
no-aggressive-ruin,simple.reload.1000,0,213,2001,9.3500,2419.0700,6,20,400
no-aggressive-ruin,simple.reload.1000,1,214,2001,9.3300,2412.7200,0,20,400
no-aggressive-ruin,simple.reload.1000,2,216,2001,9.2600,2418.0800,2,20,400
no-aggressive-ruin,simple.reload.1000,3,215,2001,9.3000,2413.4800,0,20,400
no-aggressive-ruin,simple.reload.1000,4,215,2001,9.2800,2413.9100,0,20,400
base,simple.reload.1000,0,252,2001,7.9400,2413.6500,0,20,400
base,simple.reload.1000,1,244,2001,8.1800,2415.1700,0,20,400
base,simple.reload.1000,2,241,2001,8.3000,2413.0200,0,20,400
base,simple.reload.1000,3,250,2001,7.9900,2413.9000,0,20,400
base,simple.reload.1000,4,244,2001,8.1800,2417.7400,0,20,400
only-regret-recreate,simple.reload.1000,0,252,2001,7.9400,2415.0700,0,20,400
only-regret-recreate,simple.reload.1000,1,259,2001,7.7300,2424.2200,0,20,400
only-regret-recreate,simple.reload.1000,2,248,2001,8.0400,2422.7200,0,20,400
only-regret-recreate,simple.reload.1000,3,256,2001,7.8000,2416.1200,0,20,400
only-regret-recreate,simple.reload.1000,4,256,2001,7.8100,2419.2300,1,20,400
double-population,simple.reload.1000,0,253,2001,7.9000,2416.2300,0,20,400
double-population,simple.reload.1000,1,255,2001,7.8400,2417.4600,0,20,400
double-population,simple.reload.1000,2,249,2001,8.0200,2419.3700,15,20,400
double-population,simple.reload.1000,3,262,2001,7.6100,2418.0000,0,20,400
double-population,simple.reload.1000,4,263,2001,7.6100,2417.1200,0,20,400
only-asr-ruin,simple.reload.1000,0,192,2001,10.4100,2412.3300,0,20,400
only-asr-ruin,simple.reload.1000,1,193,2001,10.3700,2413.7000,22,20,400
only-asr-ruin,simple.reload.1000,2,194,2001,10.3000,2415.5600,63,20,400
only-asr-ruin,simple.reload.1000,3,195,2001,10.2300,2413.7800,0,20,400
only-asr-ruin,simple.reload.1000,4,196,2001,10.1900,2396.8700,0,20,400
no-aggressive-ruin,balance.delivery.1000,0,16,2001,121.8200,3245.1300,0,25,0
no-aggressive-ruin,balance.delivery.1000,1,16,2001,122.7500,3257.0800,0,25,0
no-aggressive-ruin,balance.delivery.1000,2,16,2001,122.2200,3226.5500,0,25,0
no-aggressive-ruin,balance.delivery.1000,3,15,2001,125.6900,3226.7700,0,25,0
no-aggressive-ruin,balance.delivery.1000,4,15,2001,128.7100,3227.2500,0,25,0
base,balance.delivery.1000,0,24,2001,83.3100,3318.2400,0,25,0
base,balance.delivery.1000,1,25,2001,79.3600,3250.4400,2,25,0
base,balance.delivery.1000,2,22,2001,87.0700,3233.6600,0,25,0
base,balance.delivery.1000,3,23,2001,84.0300,3243.5000,0,25,0
base,balance.delivery.1000,4,22,2001,87.4200,3217.8500,0,25,0
only-regret-recreate,balance.delivery.1000,0,22,2001,90.7100,3220.0200,0,25,0
only-regret-recreate,balance.delivery.1000,1,22,2001,89.6100,3265.7400,0,25,0
only-regret-recreate,balance.delivery.1000,2,23,2001,84.6300,3233.0700,0,25,0
only-regret-recreate,balance.delivery.1000,3,24,2001,82.2800,3255.2500,0,25,0
only-regret-recreate,balance.delivery.1000,4,22,2001,87.6300,3233.7700,0,25,0
double-population,balance.delivery.1000,0,31,2001,63.8600,3205.0700,0,25,0
double-population,balance.delivery.1000,1,29,2001,67.1900,3239.9100,0,25,0
double-population,balance.delivery.1000,2,31,2001,63.6500,3227.9800,0,25,0
double-population,balance.delivery.1000,3,30,2001,65.1800,3245.3500,0,25,0
double-population,balance.delivery.1000,4,31,2001,63.3600,3243.6600,0,25,0
only-asr-ruin,balance.delivery.1000,0,12,2001,155.7600,3200.0600,0,25,0
only-asr-ruin,balance.delivery.1000,1,12,2001,158.5500,3197.6100,1,25,0
only-asr-ruin,balance.delivery.1000,2,12,2001,157.3700,3197.6200,0,25,0
only-asr-ruin,balance.delivery.1000,3,12,2001,158.5900,3198.9700,41,25,0
only-asr-ruin,balance.delivery.1000,4,12,2001,156.6000,3213.7900,1,25,0
no-aggressive-ruin,balance.delivery.100,0,3,2001,657.9200,704.0000,0,5,0
no-aggressive-ruin,balance.delivery.100,1,3,2001,654.9100,709.4800,0,5,0
no-aggressive-ruin,balance.delivery.100,2,3,2001,642.0200,678.1500,0,5,0
no-aggressive-ruin,balance.delivery.100,3,3,2001,640.1700,732.8100,0,5,0
no-aggressive-ruin,balance.delivery.100,4,3,2001,628.3100,688.7600,0,5,0
base,balance.delivery.100,0,3,2001,561.3500,688.0700,0,5,0
base,balance.delivery.100,1,3,2001,571.9100,705.8600,497,5,0
base,balance.delivery.100,2,3,2001,568.3700,715.2300,195,5,0
base,balance.delivery.100,3,3,2001,569.5100,687.6600,0,5,0
base,balance.delivery.100,4,3,2001,573.8800,697.8800,75,5,0
only-regret-recreate,balance.delivery.100,0,3,2001,551.2600,726.4600,234,5,0
only-regret-recreate,balance.delivery.100,1,3,2001,540.3900,715.4800,0,5,0
only-regret-recreate,balance.delivery.100,2,3,2001,531.7400,722.1600,0,5,0
only-regret-recreate,balance.delivery.100,3,3,2001,539.9500,726.0700,0,5,0
only-regret-recreate,balance.delivery.100,4,3,2001,527.1000,693.1700,352,5,0
double-population,balance.delivery.100,0,4,2001,475.8000,703.0100,0,5,0
double-population,balance.delivery.100,1,4,2001,486.4200,704.2100,0,5,0
double-population,balance.delivery.100,2,4,2001,498.8700,690.1400,0,5,0
double-population,balance.delivery.100,3,4,2001,475.5200,755.3300,0,5,0
double-population,balance.delivery.100,4,4,2001,475.3200,713.6000,0,5,0
only-asr-ruin,balance.delivery.100,0,2,2001,722.8300,743.8200,0,5,0
only-asr-ruin,balance.delivery.100,1,2,2001,715.6000,720.1500,0,5,0
only-asr-ruin,balance.delivery.100,2,2,2001,735.2900,743.5300,0,5,0
only-asr-ruin,balance.delivery.100,3,2,2001,711.5200,721.1100,0,5,0
only-asr-ruin,balance.delivery.100,4,2,2001,742.4700,724.4000,253,5,0
no-aggressive-ruin,simple.reload.100,0,4,2001,479.2700,460.8700,0,4,0
no-aggressive-ruin,simple.reload.100,1,4,2001,463.4400,453.6500,0,4,0
no-aggressive-ruin,simple.reload.100,2,4,2001,468.7200,455.4500,0,4,0
no-aggressive-ruin,simple.reload.100,3,4,2001,482.9300,453.0300,0,4,0
no-aggressive-ruin,simple.reload.100,4,4,2001,474.2200,458.7200,0,4,0
base,simple.reload.100,0,4,2001,416.5300,456.1600,0,4,0
base,simple.reload.100,1,4,2001,413.2600,452.2300,0,4,0
base,simple.reload.100,2,4,2001,400.8600,451.4600,0,4,0
base,simple.reload.100,3,4,2001,413.4200,462.7200,0,4,0
base,simple.reload.100,4,4,2001,429.0800,453.1400,0,4,0
only-regret-recreate,simple.reload.100,0,4,2001,403.2000,453.8000,0,4,0
only-regret-recreate,simple.reload.100,1,4,2001,413.6200,465.9700,0,4,0
only-regret-recreate,simple.reload.100,2,4,2001,405.1900,465.9300,0,4,0
only-regret-recreate,simple.reload.100,3,5,2001,394.9400,458.7800,0,4,0
only-regret-recreate,simple.reload.100,4,5,2001,394.2900,460.2000,0,4,0
double-population,simple.reload.100,0,5,2001,375.7000,456.5100,0,4,0
double-population,simple.reload.100,1,5,2001,382.9800,450.9500,0,4,0
double-population,simple.reload.100,2,5,2001,361.4600,452.2700,0,4,0
double-population,simple.reload.100,3,5,2001,371.9200,451.1700,0,4,0
double-population,simple.reload.100,4,5,2001,380.8900,453.4200,0,4,0
only-asr-ruin,simple.reload.100,0,3,2001,595.1500,462.4800,0,4,0
only-asr-ruin,simple.reload.100,1,3,2001,604.9600,463.9500,0,4,0
